num, time, PAT, eSBP, eDBP, iSBP, iDBP
503,363498,187,129.976,50.6323,133.723,49.9311
504,364208,180,140.651,53.4321,138.987,52.6656
505,364912,186,131.476,51.0258,133.222,51.1616
506,365612,187,129.976,50.6323,130.897,49.8171
507,366314,183,136.026,52.2191,135.318,51.5262
508,367024,183,136.026,52.2191,138.212,50.3868
509,367728,187,129.976,50.6323,132.538,50.7059
510,368429,186,131.476,51.0258,131.604,49.9766
511,369131,181,139.101,53.0255,137.506,53.0302
512,369840,183,136.026,52.2191,137.141,51.4579
513,370548,189,127,49.8517,132.424,50.364
514,371263,183,136.026,52.2191,134.11,50.9565
515,371985,180,140.651,53.4321,139.352,50.7286
516,372695,187,129.976,50.6323,132.538,50.9337
517,373403,187,129.976,50.6323,131.695,49.6348
518,374112,179,142.209,53.8409,138.212,53.2353
519,374822,183,136.026,52.2191,136.936,51.549
520,375528,186,131.476,51.0258,133.609,51.3211
521,376237,186,131.476,51.0258,135.022,50.5691
522,376949,178,143.777,54.252,140.696,53.8278
523,377652,186,131.476,51.0258,136.503,51.8681
524,378152,195,118.255,47.5582,128.368,49.2246
525,378960,169,158.294,58.0595,145.39,49.8171
526,379691,186,131.476,51.0258,136.845,49.9539
527,380411,183,136.026,52.2191,133.951,50.2501
528,381130,179,142.209,53.8409,140.423,51.0021
529,381854,183,136.026,52.2191,138.372,50.9337
530,382573,187,129.976,50.6323,134.361,50.7742
531,383295,187,129.976,50.6323,136.275,52.9619
532,384015,180,140.651,53.4321,141.927,51.8908
533,384735,186,131.476,51.0258,136.822,50.5008
534,385455,190,125.523,49.4644,135.683,59.4793
535,386177,185,132.984,51.4214,140.992,52.3922
536,386816,186,131.476,51.0258,142.747,53.2353
537,387631,183,136.026,52.2191,139.374,48.4726
538,388354,192,122.593,48.696,135.25,50.6603
539,389078,173,151.749,56.3429,142.815,53.4176
540,389795,185,132.984,51.4214,136.64,51.549
541,390513,180,140.651,53.4321,134.657,49.8627
542,391229,176,146.938,55.0812,140.992,54.1924
543,391953,181,139.101,53.0255,138.645,51.0249
544,392670,189,127,49.8517,134.885,50.5463
545,393385,183,136.026,52.2191,138.508,52.3466
546,394109,174,150.136,55.9199,142.428,51.8681
547,394823,175,148.533,55.4994,134.999,51.4123
548,395538,186,131.476,51.0258,133.199,49.6804
549,396257,174,150.136,55.9199,141.038,53.6683
550,396975,188,128.484,50.2409,136.868,51.2072
551,397692,186,131.476,51.0258,134.293,49.8171
552,398407,182,137.559,52.6212,138.691,52.5517
553,399131,183,136.026,52.2191,139.146,51.1616
554,399847,188,128.484,50.2409,134.999,50.2729
555,400565,187,129.976,50.6323,134.908,49.7943
556,401284,177,145.353,54.6654,140.992,51.3895
557,402003,184,134.501,51.8192,135.364,50.0906
558,402720,187,129.976,50.6323,132.857,49.5437
559,403439,186,131.476,51.0258,136.343,50.5919
560,404167,180,140.651,53.4321,140.149,50.6831
561,404879,186,131.476,51.0258,133.108,49.4753
562,405590,188,128.484,50.2409,132.128,53.805
563,406304,179,142.209,53.8409,139.078,51.6402
564,407014,181,139.101,53.0255,136.435,50.3185
565,407728,185,132.984,51.4214,133.7,51.7313
566,408442,183,136.026,52.2191,135.888,50.8198
567,409164,178,143.777,54.252,139.967,50.8198
568,409879,184,134.501,51.8192,133.677,50.6603
569,410596,185,132.984,51.4214,132.948,49.5892
