num, time, PAT, eSBP, eDBP, tSBP, tDBP
836,713236,188,0,0,0,0
837,714143,189,0,0,0,0
838,715041,188,0,0,0,0
839,715957,187,0,0,0,0
840,716878,204,0,0,0,0
841,717761,207,0,0,0,0
842,718602,208,0,0,0,0
843,719492,209,0,0,0,0
844,720439,210,0,0,0,0
845,721417,211,0,0,0,0
846,722405,210,0,0,0,0
847,723384,209,0,0,0,0
848,724341,209,0,0,0,0
849,725260,210,0,0,0,0
850,726156,211,0,0,0,0
851,727051,210,0,0,0,0
852,727953,209,0,0,0,0
853,728866,209,0,0,0,0
854,729749,191,0,0,0,0
855,730607,191,0,0,0,0
856,731498,193,0,0,0,0
857,732375,190,0,0,0,0
858,733213,192,0,0,0,0
859,734081,208,0,0,0,0
860,734958,206,0,0,0,0
861,735798,206,0,0,0,0
862,736653,207,0,0,0,0
863,737517,206,0,0,0,0
864,738340,207,0,0,0,0
865,739190,209,0,0,0,0
866,740097,210,0,0,0,0
867,741045,211,0,0,0,0
868,741950,213,0,0,0,0
869,742882,214,0,0,0,0
870,743820,214,0,0,0,0
871,744762,214,0,0,0,0
872,745695,216,0,0,0,0
873,746656,215,0,0,0,0
874,747626,214,0,0,0,0
875,748589,216,0,0,0,0
876,749537,217,0,0,0,0
877,750501,216,0,0,0,0
878,751477,216,0,0,0,0
879,752436,216,0,0,0,0
880,753345,216,0,0,0,0
881,754277,215,0,0,0,0
882,755230,214,0,0,0,0
883,756194,214,0,0,0,0
884,757152,214,0,0,0,0
885,758081,214,0,0,0,0
886,758949,215,0,0,0,0
887,759793,218,0,0,0,0
888,760655,217,0,0,0,0
889,761589,216,0,0,0,0
890,762517,216,0,0,0,0
891,763432,214,0,0,0,0
892,764367,212,0,0,0,0
893,765335,213,0,0,0,0
894,766277,213,0,0,0,0
895,767203,212,0,0,0,0
896,768161,210,0,0,0,0
897,769125,210,0,0,0,0
898,770055,210,0,0,0,0
899,770960,210,0,0,0,0
900,771897,209,0,0,0,0
901,772833,214,0,0,0,0
902,773696,214,0,0,0,0
903,774563,213,0,0,0,0
904,775452,211,0,0,0,0
905,776374,211,0,0,0,0
906,777272,207,0,0,0,0
907,778166,206,0,0,0,0
908,779091,206,0,0,0,0
909,780041,207,0,0,0,0
910,780997,207,0,0,0,0
911,781902,208,0,0,0,0
912,782806,209,0,0,0,0
913,783745,209,0,0,0,0
914,784692,209,0,0,0,0
915,785595,210,0,0,0,0
916,786476,208,0,0,0,0
917,787413,208,0,0,0,0
918,788385,209,0,0,0,0
919,789331,210,0,0,0,0
920,790225,210,0,0,0,0
921,791123,210,0,0,0,0
922,792048,216,0,0,0,0
